GET,POST,COOKIE,REQUEST,FILES,SESSION,elseif,for,foreach,DEF,FAF,RCF,ICF,maxWordLen,maxLineLen,entropy,Type
3,3,0,143,0,0,5.973,0.171,0.341,11,42,15,120,1349,1785,5.581,1
240,243,13,0,3,0,0.539,2.426,0.647,8,51,8,201,5035,7566,5.902,1
6,330,0,0,0,0,0.325,0.434,1.03,5,45,10,141,560,1073,5.92,1
36,67,0,0,6,19,0,1.416,0.386,1,19,0,30,3924,4684,5.947,1
0,1,0,0,0,0,0.781,0,0,0,2,0,0,453,114,5.152,1
0,0,0,0,0,0,0,0,0,0,1,0,51,64,341,5.197,1
3,3,2,4,0,0,2.018,0.202,2.069,4,133,16,189,422,983,5.492,1
95,67,2,80,4,47,1.496,1.33,0.665,6,101,22,372,727,2932,5.697,1
0,8,0,0,0,0,0.342,0,0,0,3,0,5,416,154,5.168,1
55,19,2,4,2,6,2.44,0.365,2.104,20,171,75,359,116026,116036,6.06,1
0,2,0,0,0,0,0.505,0,0,0,2,0,4,84,154,4.967,1
3,3,2,5,1,0,2.484,0.237,2.011,16,143,56,207,535,991,5.316,1
3,7,0,0,3,7,1.89,0,1.203,0,8,3,23,100,359,5.357,1
3,7,0,0,3,7,0.933,2.12,0.594,0,9,2,30,416,359,5.384,1
0,0,0,19,0,20,0.68,0,0,0,4,0,1,44,160,5.334,1
23,580,23,0,0,3,0.744,0.77,0.956,7,153,26,237,573,372,5.75,1
0,0,0,0,0,0,0,0.595,0,0,0,0,7,92,546,5.339,1
3,3,2,7,0,0,2.771,0.304,2.264,18,141,49,283,422,1458,5.62,1
8,222,2,5,12,0,1.551,0.665,0.249,17,82,7,101,146,167,5.609,1
0,0,0,0,0,0,0.769,0.385,0,0,1,0,1,77,115,5.563,1
0,13,0,0,0,12,4.848,1.818,0,0,2,0,20,108,1000,5.611,1
0,216,0,0,2,26,1.518,0.966,1.518,2,80,14,103,1128,1133,5.027,1
2,6,0,0,0,0,1.446,0.12,0,0,0,0,90,416,260,4.911,1
0,0,0,5,0,0,0.723,0.241,1.044,11,40,7,40,135,178,5.325,1
0,24,0,0,0,0,0.862,0,0.575,1,20,2,42,92,602,5.622,1
3,109,39,0,2,0,1.288,0.368,0.92,3,66,5,137,1378,1385,5.872,1
0,2,0,0,0,0,0,0,0,0,1,1,5,25,74,4.541,1
4,0,0,0,0,0,3.297,0,0,0,26,3,19,197,462,5.45,1
0,1,0,0,0,0,0,0,0,0,0,0,1,62,72,5.367,1
0,3,0,0,0,0,0,7.692,1.923,0,2,0,3,69,141,4.979,1
1,2,0,0,0,0,0.422,0,0,0,5,4,7,167,229,5.345,1
4,3,5,328,5,0,2.321,1.096,1.418,3,124,10,233,333,2794,5.623,1
0,42,0,0,2,0,0,2.39,0,16,18,0,15,416,452,5.642,1
11,367,2,0,0,0,0.283,0.472,0.991,6,58,10,159,1312,372,5.732,1
0,0,0,0,0,0,0,0,0,0,0,0,0,25742,0,6.073,1
15,48,2,7,0,0,2.689,0.275,1.986,18,152,52,304,31483,31483,5.877,1
0,91,0,0,2,0,2.3,4.358,0.363,4,13,2,30,127,454,5.632,1
9,3,0,2,0,0,1.108,0.277,0.277,2,16,0,36,92,562,5.64,1
0,216,0,0,2,26,1.577,1.004,1.577,2,80,14,103,1128,1176,5.029,1
0,42,0,0,2,0,0,2.39,0,16,18,0,15,416,310,5.601,1
1,1,2,7,0,0,2.809,0.284,2.276,16,101,37,208,422,1480,5.684,1
0,0,0,0,0,0,0,0,0,0,1,0,51,64,341,5.197,1
119,141,0,0,6,19,2.001,0.828,0.828,1,16,5,48,1715,1716,5.186,1
0,0,0,0,0,0,0,1.104,0,0,15,4,18,118,118,5.437,1
1,0,1,0,0,0,1.602,0.209,1.219,17,78,9,123,386,591,5.945,1
0,50,1,0,0,21,0.455,0,0,0,7,5,11,86,607,5.867,1
3,1,0,2,3,0,0.09,0.09,0.045,7,19,31,97,96,96,6.033,1
57,1,0,0,0,0,0.064,0.576,1.28,0,67,0,363,186,889,5.66,1
0,4,0,0,3,0,0,0,0,0,0,0,5,60,110,5.361,1
0,0,0,0,0,0,0.822,0.274,0,0,4,0,36,92,452,5.131,1
2,6,0,0,0,0,1.437,0.12,0,0,0,0,90,281,259,4.99,1
8,368,11,0,0,0,0.279,0.418,0.929,6,69,7,199,560,372,5.798,1
61,14,0,17,3,65,0.607,0.835,0.076,0,55,3,102,258,897,5.567,1
7,9,0,0,2,0,0,0.284,0.568,0,4,17,33,93,162,5.392,1
50,634,17,10,0,8,0.837,0.744,0.762,11,193,36,407,30070,30070,5.939,1
